City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Khani,0,GE,1553553000,93,41.96,42.96,41.0,2.24
Lauro Muller,12,BR,1553553729,93,-28.39,-49.4,60.51,1.92
Ugoofaaru,0,MV,1553553731,100,5.67,73.0,84.45,9.19
Ouadda,68,CF,1553553732,84,8.07,22.4,73.02,4.61
Airai,0,TL,1553553733,83,-8.93,125.41,76.44,1.92
Mogadishu,48,SO,1553553730,96,2.04,45.34,83.46,10.98
Esso,56,RU,1553553735,74,55.93,158.7,10.29,7.96
Shakhtinsk,0,KZ,1553551200,100,49.71,72.59,28.4,6.71
Mount Isa,90,AU,1553553000,83,-20.73,139.49,77.0,18.34
Lorengau,68,PG,1553553739,100,-2.02,147.27,81.84,6.06
Cockburn Town,64,TC,1553553740,100,21.46,-71.14,75.36,17.25
North Bend,90,US,1553553626,87,43.41,-124.22,48.99,9.17
Tiksi,0,RU,1553553743,59,71.64,128.87,-12.67,3.6
Ruwi,20,OM,1553550600,88,23.6,58.55,75.2,3.36
Ibipeba,88,BR,1553553746,97,-11.64,-42.01,67.44,2.93
Kahului,40,US,1553553581,51,20.89,-156.47,80.6,24.16
Ilek,80,RU,1553553748,92,51.53,53.38,31.26,10.42
Chimoio,0,MZ,1553551200,88,-19.11,33.48,69.8,4.7
Nishihara,90,JP,1553553751,70,35.74,139.53,54.0,4.7
Sinnamary,100,GF,1553553752,91,5.38,-52.96,80.58,11.1
Fairbanks,90,US,1553553740,86,64.84,-147.72,42.01,3.36
Morozovsk,24,RU,1553553755,90,48.35,41.83,31.71,4.38
Launceston,40,AU,1553553648,62,-41.43,147.14,55.99,14.99
Carnarvon,0,ZA,1553553757,72,-30.97,22.13,54.93,12.66
Hasaki,75,JP,1553551339,81,35.73,140.83,50.0,8.05
Tabou,36,CI,1553553760,95,4.42,-7.36,84.18,6.62
Nuuk,90,GL,1553553726,92,64.17,-51.74,21.2,20.8
Vrangel,0,RU,1553553762,99,42.73,133.08,35.4,20.71
Arlit,32,NE,1553553763,26,18.74,7.39,73.38,9.53
Hilo,40,US,1553553742,57,19.71,-155.08,77.0,11.41
Kishi,76,NG,1553553766,67,9.08,3.85,78.51,7.18
Yulara,0,AU,1553551200,39,-25.24,130.99,66.2,10.29
Portree,80,GB,1553553133,87,57.41,-6.19,46.99,5.01
Castro,20,CL,1553551200,67,-42.48,-73.76,59.0,6.93
Patea,64,NZ,1553553607,55,-39.76,174.48,73.0,15.99
Bulnes,0,CL,1553551200,34,-36.74,-72.3,78.8,3.36
Cherskiy,88,RU,1553553774,73,68.75,161.3,5.7,11.43
Los Llanos de Aridane,44,ES,1553551200,72,28.66,-17.92,62.6,2.24
Lasa,0,CY,1553551200,75,34.92,32.53,55.4,9.17
Navirai,8,BR,1553553773,65,-23.07,-54.19,76.89,8.08
Yerbogachen,12,RU,1553553779,81,61.28,108.01,5.34,5.95
Togur,0,RU,1553553780,71,58.36,82.83,11.46,3.38
Bjornevatn,0,NO,1553550600,62,69.67,29.98,23.0,4.7
Sao Paulo de Olivenca,12,BR,1553553782,84,-3.38,-68.87,80.22,2.71
Hanzhong,20,CN,1553553783,84,33.08,107.03,42.24,3.15
Barahona,40,DO,1553551200,65,18.21,-71.1,82.4,13.87
Rorvik,0,NO,1553553602,90,64.86,11.24,32.0,12.66
Bethel,90,US,1553550960,81,60.79,-161.76,42.8,23.04
Dharchula,88,IN,1553553788,98,29.85,80.53,33.06,1.36
Kailua,90,US,1553553750,83,21.39,-157.74,80.6,12.75
Upernavik,80,GL,1553553791,100,72.79,-56.15,5.25,17.47
Ziebice,75,PL,1553553783,93,50.6,17.04,39.0,11.41
Almaznyy,0,RU,1553551200,80,48.03,40.04,41.0,4.47
Kisangani,32,CD,1553553794,95,0.52,25.21,74.91,2.59
Kamskiye Polyany,90,RU,1553551200,100,55.43,51.42,30.2,17.9
Takapau,0,NZ,1553553557,56,-40.02,176.35,72.0,8.99
Dikson,80,RU,1553553798,91,73.51,80.55,28.47,14.23
Filadelfia,100,PY,1553553799,65,-22.35,-60.04,82.29,5.5
Outlook,76,CA,1553549899,100,51.48,-107.04,37.99,10.65
Chuy,64,UY,1553553801,83,-33.69,-53.46,66.18,10.42
Kholodnyy,0,RU,1553553803,72,62.72,147.95,7.86,4.38
Ciechanow,0,PL,1553553801,92,52.88,20.62,37.0,8.05
Huarmey,0,PE,1553553805,71,-10.07,-78.15,70.23,3.71
Flinders,0,AU,1553553740,44,-34.58,150.85,68.0,5.82
Kilindoni,0,TZ,1553553807,100,-7.91,39.67,83.1,7.4
Shilka,20,RU,1553553809,39,51.85,116.03,12.54,3.27
Kamenskiy,44,RU,1553553810,88,50.89,45.49,23.79,4.83
Chokurdakh,24,RU,1553553811,77,70.62,147.9,-3.67,6.73
Pisco,0,PE,1553551200,30,-13.71,-76.2,71.6,23.04
Adelaide,75,AU,1553553647,51,-34.93,138.6,64.99,11.41
Necochea,92,AR,1553553678,61,-38.55,-58.74,57.99,3.0
Rapid Valley,90,US,1553553810,86,44.06,-103.15,42.8,4.38
Mehamn,40,NO,1553550600,63,71.03,27.85,30.2,12.75
Kruisfontein,44,ZA,1553553818,86,-34.0,24.73,61.05,5.17
Xai-Xai,20,MZ,1553553820,96,-25.04,33.64,78.78,10.09
Torbay,90,CA,1553553209,80,47.66,-52.73,35.01,16.11
Calabozo,0,VE,1553553822,38,8.92,-67.43,87.78,9.19
Borgo San Dalmazzo,75,IT,1553553784,87,44.33,7.49,53.6,13.87
Bridlington,56,GB,1553553665,86,54.08,-0.19,39.99,4.7
Geraldton,5,CA,1553551200,20,49.72,-86.95,30.2,14.99
Camalu,20,MX,1553553827,38,30.85,-116.07,70.86,5.73
Dauriya,80,RU,1553553829,37,49.93,116.85,16.5,4.72
Vieques,40,PR,1553553651,58,18.43,-65.83,82.4,16.11
Mumford,8,GH,1553553831,90,5.26,-0.76,79.41,6.73
Vardo,90,US,1553553829,86,39.62,-77.74,46.99,12.75
Koumac,0,NC,1553553833,72,-20.56,164.28,83.91,6.4
Bambous Virieux,40,MU,1553553547,94,-20.34,57.76,77.0,2.24
Porto Novo,0,BR,1553551200,69,-23.68,-45.44,77.0,9.17
Padang,44,ID,1553553837,100,-0.92,100.36,82.11,3.38
Aguimes,40,ES,1553553632,88,27.91,-15.45,62.6,6.93
Beringovskiy,88,RU,1553553839,95,63.05,179.32,33.33,33.02
Kaitangata,92,NZ,1553553841,66,-46.28,169.85,73.74,12.21
Troitsko-Pechorsk,88,RU,1553553842,96,62.71,56.19,35.85,7.63
Georgetown,20,GY,1553551200,69,6.8,-58.16,80.6,9.17
Port Elizabeth,90,US,1553553829,61,39.31,-74.98,50.0,8.05
Bukachacha,0,RU,1553553846,52,52.99,116.91,5.79,2.37
Deputatskiy,0,RU,1553553847,73,69.3,139.9,-7.9,3.49
Emba,0,CY,1553551200,75,34.81,32.42,55.4,9.17
Denpasar,40,ID,1553551200,94,-8.65,115.22,78.8,2.24
Haradok,64,BY,1553553850,92,55.46,29.99,31.62,8.97
San Juan,40,PR,1553553588,58,18.47,-66.12,82.4,9.17
Campbell River,90,CA,1553553013,57,50.02,-125.24,54.0,6.93
Codrington,92,AU,1553553798,78,-28.95,153.24,80.6,2.26
Pangpang,0,PH,1553553857,64,15.94,120.31,73.29,3.04
Atar,0,MR,1553553858,33,20.52,-13.05,64.47,7.85
Tateyama,0,JP,1553553617,52,36.66,137.31,51.01,3.36
Ponta do Sol,64,BR,1553553861,71,-20.63,-46.0,72.48,3.6
Nerekhta,0,RU,1553551200,79,57.46,40.57,28.4,6.71
San Vicente,0,SV,1553553663,46,13.64,-88.78,89.6,4.7
Harper,40,US,1553553673,44,30.3,-99.24,80.6,6.93
Yaya,32,RU,1553553867,70,56.2,86.45,13.17,2.93
Fenoarivo,75,MG,1553551200,94,-18.93,47.44,68.0,2.93
Komsomolskiy,56,RU,1553553869,80,67.55,63.78,24.69,9.86
Ambovombe,0,MG,1553553870,96,-25.18,46.09,74.28,5.39
Sao Filipe,0,CV,1553553871,100,14.9,-24.5,68.97,7.96
Nortelandia,32,BR,1553553873,84,-14.45,-56.8,77.88,2.37
Aklavik,75,CA,1553551200,64,68.22,-135.01,39.2,5.82
Saint-Augustin,0,FR,1553553729,57,44.83,-0.61,48.2,5.82
Valparaiso,1,US,1553553857,59,41.47,-87.06,44.6,14.99
San Patricio,12,PY,1553553878,65,-26.98,-56.83,71.22,5.5
Severo-Kurilsk,44,RU,1553553879,100,50.68,156.12,28.56,20.04
Mago,48,RU,1553553880,61,53.27,140.15,21.18,2.59
Ati,0,TD,1553553881,19,13.21,18.34,80.04,12.77
Kudahuvadhoo,0,MV,1553553883,100,2.67,72.89,84.18,12.21
Kibala,0,TD,1553551200,38,9.11,18.35,89.6,14.12
Cururupu,64,BR,1553553885,96,-1.82,-44.87,75.63,3.38
Zima,0,RU,1553553886,62,53.93,102.05,14.97,6.17
La Ronge,40,CA,1553551200,26,55.1,-105.3,42.8,13.87
Grindavik,75,IS,1553553882,87,63.84,-22.43,44.01,29.97
Touros,40,BR,1553551200,74,-5.2,-35.46,84.2,8.05
Igarka,76,RU,1553553892,88,67.47,86.57,27.03,14.0
Quelimane,0,MZ,1553551200,94,-17.88,36.89,77.0,2.71
Mount Pleasant,1,US,1553553667,43,33.16,-94.97,73.99,14.99
Chitipa,12,MW,1553553897,91,-9.7,33.27,58.89,2.93
Vredendal,0,ZA,1553553898,83,-31.68,18.49,55.56,2.15
Yoichi,40,JP,1553553611,80,43.19,140.77,39.99,14.99
Harer,1,US,1553553874,51,42.19,-111.17,54.0,6.93
Salto del Guaira,20,PY,1553553902,67,-24.06,-54.31,76.71,6.73
Tiznit,56,MA,1553553903,95,29.7,-9.73,57.9,7.29
Salta,90,AR,1553551200,88,-24.79,-65.41,69.8,3.36
Ossora,88,RU,1553553906,92,59.24,163.07,18.84,25.52
Benghazi,0,LY,1553553908,100,32.12,20.07,60.87,11.65
Henties Bay,92,NA,1553551331,94,-22.12,14.28,60.01,3.0
San Jeronimo,76,PE,1553553910,76,-13.65,-73.37,49.44,1.7
Queanbeyan,0,AU,1553553903,35,-35.35,149.23,57.2,17.22
Bissau,0,GW,1553551200,73,11.86,-15.58,73.4,6.93
Valdemarpils,0,LV,1553550600,80,57.37,22.59,33.8,6.93
Rudnyy,90,KZ,1553551200,91,52.96,63.12,32.0,8.95
Bilibino,32,RU,1553553916,67,68.06,166.44,1.11,3.15
Zyryanka,48,RU,1553553918,64,65.73,150.89,3.09,11.21
Neepawa,75,CA,1553551200,50,50.23,-99.46,30.2,6.93
Nkowakowa,0,ZA,1553551200,59,-23.89,30.29,66.2,3.36
Batagay-Alyta,12,RU,1553553921,60,67.8,130.41,-8.89,2.71
Hays,90,US,1553553104,50,38.88,-99.33,57.2,3.36
Inta,92,RU,1553553923,90,66.04,60.13,31.26,5.95
Clyde River,75,CA,1553551200,70,70.47,-68.59,1.4,26.4
Peace River,40,CA,1553551200,61,56.23,-117.29,46.4,8.05
Techiman,48,GH,1553553927,65,7.58,-1.94,81.3,10.76
Norman Wells,75,CA,1553551200,52,65.28,-126.83,46.4,9.17
Buala,64,SB,1553553929,83,-8.15,159.59,85.26,3.6
Kirakira,20,SB,1553553930,100,-10.46,161.92,83.46,2.37
Hualmay,20,PE,1553553932,80,-11.1,-77.61,69.24,5.17
Alenquer,64,BR,1553553933,95,-1.95,-54.74,76.08,2.93
Okakarara,56,NA,1553553934,76,-20.59,17.46,64.02,3.6
Chimbote,12,PE,1553553935,89,-9.08,-78.59,69.42,6.73
Waddan,0,LY,1553553937,64,29.16,16.14,42.51,2.82
Katsuura,75,JP,1553553278,70,33.93,134.5,48.99,2.24
Cayenne,75,GF,1553553000,74,4.94,-52.33,78.8,8.05
Umm Lajj,0,SA,1553553940,90,25.02,37.27,64.29,10.2
Yasnyy,12,RU,1553553941,79,64.04,44.09,21.72,2.37
Ancud,44,CL,1553551200,67,-41.87,-73.83,59.0,6.93
Shimoda,92,JP,1553553185,85,34.7,138.93,45.0,9.53
Salalah,75,OM,1553550600,78,17.01,54.1,78.8,6.93
Xinyu,56,CN,1553553946,88,27.8,114.93,53.22,1.92
Mackenzie,90,CA,1553551260,76,55.34,-123.09,39.2,3.36
Bay City,1,US,1553553674,32,43.59,-83.89,43.0,4.7
Dwarka,20,IN,1553551200,77,28.58,77.04,64.4,4.7
Rawson,0,AR,1553553951,62,-43.3,-65.11,55.2,8.63
Comodoro Rivadavia,20,AR,1553551200,62,-45.87,-67.48,57.2,3.36
Karabuk,0,TR,1553553953,85,41.2,32.63,28.74,3.38
Sibenik,92,HR,1553553954,78,45.81,17.18,40.17,7.4
Naron,0,ES,1553553907,57,43.52,-8.15,55.99,4.7
Durgapur,0,IN,1553553957,69,23.54,87.34,65.91,2.71
Paamiut,80,GL,1553553958,100,61.99,-49.67,26.58,26.31
Ust-Kuyga,0,RU,1553553959,59,70.0,135.55,-12.94,3.6
Hervey Bay,40,AU,1553551200,74,-25.3,152.85,78.8,5.82
Aykhal,20,RU,1553553961,46,65.95,111.51,-8.53,2.71
Erzin,0,TR,1553552400,100,36.95,36.2,57.2,9.17
Herat,64,AF,1553553964,69,34.35,62.22,53.31,11.99
Ampanihy,0,MG,1553553965,91,-24.69,44.75,69.78,8.3
Cidreira,8,BR,1553553966,85,-30.17,-50.22,62.76,4.72
Verkhnyaya Inta,88,RU,1553553967,88,65.99,60.32,31.71,6.17
Havre,1,US,1553553925,66,48.55,-109.68,52.0,5.82
Shingu,92,JP,1553553970,100,33.72,135.99,51.06,11.65
Dali,0,CN,1553553971,100,25.6,100.24,43.32,1.7
Marawi,0,PH,1553553972,76,8.0,124.29,74.28,2.71
Pergamino,12,AR,1553553932,61,-33.9,-60.57,61.0,1.99
Krizevci,20,HR,1553553937,93,46.02,16.54,42.01,1.12
Aflao,20,TG,1553551200,83,6.12,1.19,82.4,8.05
Mahajanga,20,MG,1553551200,88,-15.72,46.32,82.4,6.93
Rach Gia,20,VN,1553551200,94,10.02,105.08,78.8,3.36
Vila Velha,20,BR,1553553701,78,-3.71,-38.6,82.4,3.36
Balkanabat,92,TM,1553553981,92,39.51,54.36,44.49,2.59
Burgersdorp,8,ZA,1553553982,92,-30.99,26.32,51.51,7.96
Caraballeda,0,VE,1553553070,63,10.61,-66.85,75.99,13.44
Lavrentiya,92,RU,1553553984,94,65.58,-170.99,33.06,25.75
Yantal,0,RU,1553553985,63,56.85,105.25,-0.7,2.37
Kysyl-Syr,0,RU,1553553987,72,63.9,122.77,0.66,5.84
Cuenca,0,ES,1553553606,51,40.07,-2.13,48.0,4.0
Bell Ville,64,AR,1553553989,64,-32.63,-62.69,61.86,7.74
Muriwai Beach,0,NZ,1553553957,56,-36.82,174.45,78.01,12.75
Moissala,8,TD,1553553991,43,8.34,17.77,85.53,11.21
Esperance,40,TT,1553553974,74,10.24,-61.45,82.4,16.11
Trinidad,20,UY,1553553995,78,-33.52,-56.9,58.62,9.19
Bedele,92,ET,1553553996,43,8.46,36.35,69.24,4.94
Vestmannaeyjar,92,IS,1553553997,94,63.44,-20.27,43.77,23.17
Hofn,12,IS,1553553998,91,64.25,-15.21,43.86,32.91
Mahebourg,40,MU,1553553846,94,-20.41,57.7,77.0,2.24
Itarema,80,BR,1553554001,96,-2.92,-39.92,77.34,4.94
Katherine,90,AU,1553551200,88,-14.47,132.26,80.6,9.17
Mackay,40,CA,1553551200,70,53.65,-115.58,46.4,3.49
Kawalu,76,ID,1553554005,96,-7.38,108.21,69.69,2.04
Udarnyy,0,RU,1553554006,87,54.34,42.86,24.87,7.4
Calvinia,20,ZA,1553554007,74,-31.47,19.78,52.77,6.17
Jingdezhen,24,CN,1553554008,86,29.29,117.2,50.88,2.82
Voi,8,KE,1553554009,90,-3.4,38.57,64.38,2.37
Red Bluff,90,US,1553553997,76,40.18,-122.24,57.99,12.75
Carballo,0,ES,1553553830,57,43.21,-8.69,57.0,4.7
Kaeo,0,NZ,1553553485,72,-35.1,173.78,73.0,7.0
Conceicao das Alagoas,0,BR,1553551200,65,-19.91,-48.39,77.0,5.82
Ban Dung,24,TH,1553551200,74,17.7,103.25,78.8,6.93
Ust-Nera,24,RU,1553554017,67,64.57,143.24,-0.43,2.71
Ukiah,90,US,1553554016,81,39.15,-123.21,55.99,4.7
Petrozavodsk,88,RU,1553551200,86,61.79,34.39,28.4,4.47
Yasothon,32,TH,1553551200,78,15.8,104.15,77.0,4.7
Ulladulla,0,AU,1553553986,44,-35.36,150.48,63.0,5.82
Ogulin,92,HR,1553553724,85,45.27,15.22,48.0,11.99
Flin Flon,75,CA,1553551200,37,54.77,-101.88,35.6,10.29
Kosh-Agach,20,RU,1553554026,72,49.99,88.66,6.6,2.71
Okhotsk,0,RU,1553554027,70,59.36,143.24,23.52,4.38
Zapolyarnyy,0,RU,1553550600,62,69.43,30.82,19.4,4.7
Ambilobe,36,MG,1553554029,100,-13.19,49.05,73.74,3.04
San Quintin,0,PH,1553554030,61,17.54,120.52,74.64,3.83
Turukhansk,88,RU,1553554032,88,65.8,87.96,24.15,13.44
Sobolevo,64,RU,1553554033,88,54.43,31.9,29.46,3.27
Quzhou,0,CN,1553554034,85,28.97,118.86,50.25,2.48
Oktyabrskiy,0,RU,1553553470,86,55.61,37.97,36.0,4.47
The Valley,20,AI,1553553087,69,18.22,-63.06,80.6,17.22
Ordu,40,TR,1553550600,81,40.98,37.88,39.2,1.12
Nelson Bay,75,AU,1553553984,78,-32.72,152.14,73.99,11.41
